email,nickname,pid,showup_order,start_time,queryRespTime,updateRespTime,error
batch3248@batch.com.tw,測三二四八,275071,N/A,20250626 16:29:17,101.28,N/A,\"query API HTTP 500\"
batch1869@batch.com.tw,測一八六九,273692,N/A,20250626 16:29:17,112.80,N/A,\"query API HTTP 500\"
batch2035@batch.com.tw,測二零三五,273858,N/A,20250626 16:29:17,114.07,N/A,\"query API HTTP 500\"
batch4286@batch.com.tw,測四二八六,276109,N/A,20250626 16:29:17,115.94,N/A,\"query API HTTP 500\"
batch2719@batch.com.tw,測二七一九,274542,N/A,20250626 16:29:17,119.53,N/A,\"query API HTTP 500\"
batch4902@batch.com.tw,測四九零二,276725,N/A,20250626 16:29:17,115.01,N/A,\"query API HTTP 500\"
batch2086@batch.com.tw,測二零八六,273909,N/A,20250626 16:29:17,116.10,N/A,\"query API HTTP 500\"
batch2551@batch.com.tw,測二五五一,274374,N/A,20250626 16:29:17,116.48,N/A,\"query API HTTP 500\"
batch2001@batch.com.tw,測二零零一,273824,N/A,20250626 16:29:17,125.94,N/A,\"query API HTTP 500\"
batch1067@batch.com.tw,測一零六七,272890,N/A,20250626 16:29:17,116.22,N/A,\"query API HTTP 500\"
batch0299@batch.com.tw,測零二九九,272122,N/A,20250626 16:29:17,116.22,N/A,\"query API HTTP 500\"
batch4619@batch.com.tw,測四六一九,276442,N/A,20250626 16:29:17,116.19,N/A,\"query API HTTP 500\"
batch4985@batch.com.tw,測四九八五,276808,N/A,20250626 16:29:17,116.21,N/A,\"query API HTTP 500\"
batch1017@batch.com.tw,測一零一七,272840,N/A,20250626 16:29:17,116.51,N/A,\"query API HTTP 500\"
batch4919@batch.com.tw,測四九一九,276742,N/A,20250626 16:29:17,195.79,N/A,\"query API HTTP 500\"
batch1534@batch.com.tw,測一五三四,273357,N/A,20250626 16:29:18,97.54,N/A,\"query API HTTP 502\"
batch3701@batch.com.tw,測三七零一,275524,N/A,20250626 16:29:17,194.65,N/A,\"query API HTTP 500\"
batch4836@batch.com.tw,測四八三六,276659,N/A,20250626 16:29:17,194.75,N/A,\"query API HTTP 500\"
batch0249@batch.com.tw,測零二四九,272072,N/A,20250626 16:29:18,110.83,N/A,\"query API HTTP 500\"
